%TakeMeasurement() failed, code 4
%timestamp count  distance(m) hor(deg) ver(deg)
1415648851.402312 0  0.000 151.86 89.13
1415648852.543546 1  5.650 151.73 89.26
1415648853.808158 2  5.642 151.62 89.27
1415648855.109656 3  5.645 151.67 89.22
1415648856.370164 4  5.663 151.82 89.16
1415648857.674951 5  5.639 151.70 89.19
1415648858.967585 6  5.643 151.67 89.16
1415648860.230287 7  5.617 150.84 89.17
1415648861.523914 8  5.576 149.12 89.05
1415648862.822538 9  5.541 146.81 88.58
1415648864.126083 10  5.360 143.64 88.74
1415648866.052632 11  5.196 138.81 88.57
1415648867.337917 12  5.152 135.26 88.60
%TakeMeasurement() failed, code 4
1415648868.635102 13  5.027 131.33 88.72
%TakeMeasurement() failed, code 4
1415648869.941916 14  4.981 127.41 88.65
1415648871.249421 15  4.949 126.26 88.74
1415648872.544216 16  4.976 126.40 88.57
1415648874.468668 17  4.966 126.56 88.55
1415648875.752715 18  4.968 126.57 88.53
1415648877.052293 19  4.955 126.50 88.51
