%timestamp count  distance(m) hor(deg) ver(deg)
1414172967.509118 0  3.002 334.26 97.14
1414172969.606570 1  3.005 334.27 97.14
1414172971.204792 2  3.004 334.35 97.14
1414172972.377111 3  3.002 334.36 97.12
1414172973.685422 4  3.000 334.53 96.93
1414172975.605045 5  3.039 335.49 94.37
1414172976.904954 6  3.033 334.51 94.51
1414172978.963076 7  3.033 333.61 94.51
1414172981.069602 8  3.033 333.45 94.51
1414172983.176955 9  3.033 334.03 94.51
1414172985.268456 10  3.033 336.98 94.51
1414172987.366957 11  3.033 340.92 94.51
1414172989.471468 12  3.033 341.37 94.51
1414172991.564855 13  3.033 341.27 94.51
1414172993.676461 14  3.033 341.40 94.51
1414172995.763827 15  3.033 341.47 94.51
1414172997.871211 16  3.033 341.66 94.51
1414172999.923963 17  3.033 343.39 94.51
1414173002.012840 18  3.033 345.98 94.51
1414173004.116967 19  3.033 348.27 94.51
1414173006.174965 20  3.033 350.24 94.51
1414173008.270598 21  3.033 352.58 94.51
1414173010.365010 22  3.033 354.89 94.51
1414173012.424347 23  3.033 357.01 94.51
1414173014.511103 24  3.033 358.83 94.51
1414173016.566257 25  3.033 359.45 94.51
1414173018.674820 26  3.033 0.13 94.51
1414173020.761100 27  3.033 359.33 94.51
1414173022.814141 28  3.033 358.58 94.51
1414173024.925198 29  3.033 357.87 94.51
1414173027.014136 30  3.033 356.64 94.51
1414173029.117225 31  3.033 356.17 94.51
1414173031.177232 32  3.033 355.26 94.51
1414173033.271823 33  3.033 354.55 94.51
1414173035.366228 34  3.033 353.89 94.51
1414173037.426453 35  3.033 353.46 94.51
1414173039.511857 36  3.033 352.64 94.51
1414173041.568314 37  3.033 352.14 94.51
1414173043.682861 38  3.033 351.37 94.51
1414173045.764857 39  3.033 350.88 94.51
1414173047.868324 40  3.033 350.24 94.51
1414173049.923249 41  3.033 349.93 94.51
1414173052.014362 42  3.033 349.91 94.51
1414173054.113356 43  3.033 349.99 94.51
1414173056.171461 44  3.033 349.99 94.51
1414173058.271114 45  3.033 349.99 94.51
1414173060.365586 46  3.033 349.99 94.51
1414173062.426754 47  3.033 349.99 94.51
1414173064.517986 48  3.033 350.00 94.51
1414173066.619624 49  3.033 350.00 94.51
1414173068.678375 50  3.033 350.01 94.51
