%timestamp count  distance(m) hor(deg) ver(deg)
1414173170.432566 0  3.033 342.00 94.51
1414173172.526665 1  3.033 341.66 94.51
1414173174.616562 2  3.033 341.29 94.51
1414173176.680269 3  3.033 340.69 94.51
1414173178.772637 4  3.033 340.20 94.51
1414173180.880141 5  3.033 339.69 94.51
1414173182.934767 6  3.033 339.30 94.51
1414173185.019673 7  3.033 339.02 94.51
1414173187.076925 8  3.033 338.78 94.51
1414173189.183920 9  3.033 338.20 94.51
1414173191.279770 10  3.033 338.01 94.51
1414173193.373897 11  3.033 337.61 94.51
1414173195.428928 12  3.033 337.63 94.51
1414173197.521975 13  3.033 337.64 94.51
1414173199.623773 14  3.033 337.63 94.51
1414173201.688524 15  3.033 337.65 94.51
1414173203.775904 16  3.033 340.49 94.51
1414173205.876559 17  3.033 341.19 94.51
1414173207.969936 18  3.033 341.36 94.51
1414173210.023535 19  3.033 341.36 94.51
1414173212.119685 20  3.033 341.36 94.51
1414173214.178029 21  3.033 341.36 94.51
1414173216.279556 22  3.033 342.13 94.51
1414173218.374667 23  3.033 342.00 94.51
1414173220.434158 24  3.033 342.00 94.51
1414173222.519541 25  3.033 342.01 94.51
1414173224.574857 26  3.033 342.00 94.51
1414173226.688787 27  3.033 342.00 94.51
1414173228.774916 28  3.033 341.99 94.51
1414173230.877658 29  3.033 341.98 94.51
1414173232.935321 30  3.033 341.98 94.51
1414173235.023215 31  3.033 341.97 94.51
1414173237.123418 32  3.033 341.96 94.51
1414173239.182920 33  3.033 341.95 94.51
1414173241.282917 34  3.033 342.02 94.51
1414173243.371298 35  3.033 342.11 94.51
1414173245.434331 36  3.033 342.05 94.51
1414173247.526545 37  3.033 341.83 94.51
1414173249.630442 38  3.033 341.51 94.51
1414173251.724548 39  3.033 341.43 94.51
1414173253.825299 40  3.033 341.35 94.51
1414173255.934599 41  3.033 341.30 94.51
1414173258.023471 42  3.033 341.26 94.51
1414173260.081932 43  3.033 341.18 94.51
1414173262.184550 44  3.033 341.20 94.51
1414173264.280051 45  3.033 341.43 94.51
1414173266.378680 46  3.033 341.68 94.51
1414173268.481935 47  3.033 341.68 94.51
1414173270.578931 48  3.033 342.05 94.51
1414173272.696222 49  3.033 342.04 94.51
1414173274.774677 50  3.033 342.03 94.51
1414173276.878940 51  3.033 342.03 94.51
1414173278.931692 52  3.033 342.01 94.51
1414173281.027685 53  3.033 342.01 94.51
1414173283.127810 54  3.033 342.01 94.51
1414173285.181981 55  3.033 342.05 94.51
1414173287.279230 56  3.033 342.07 94.51
1414173289.379186 57  3.033 342.07 94.51
1414173291.481314 58  3.033 342.07 94.51
