%TakeMeasurement() failed, code 4
%timestamp count  distance(m) hor(deg) ver(deg)
1414173662.230161 0  0.000 3.03 116.81
1414173663.357642 1  3.483 3.40 116.75
1414173664.624518 2  3.497 3.93 116.63
1414173665.924893 3  3.508 4.33 116.55
1414173667.184900 4  3.528 5.10 116.38
1414173668.472395 5  3.536 5.45 116.31
1414173669.763267 6  3.547 5.80 116.23
1414173671.026521 7  3.561 6.31 116.12
1414173672.308186 8  3.586 7.20 115.93
1414173673.593268 9  3.601 7.65 115.84
1414173674.890502 10  3.628 8.49 115.63
1414173676.816499 11  3.672 9.86 115.30
1414173678.103276 12  3.700 10.59 115.12
1414173679.414615 13  3.730 11.40 114.90
1414173680.691150 14  3.775 12.61 114.57
1414173681.997776 15  3.787 12.94 114.50
1414173683.284877 16  3.818 13.67 114.29
1414173685.208153 17  3.874 14.96 113.90
1414173686.496378 18  3.903 15.52 113.73
1414173687.789281 19  3.945 16.44 113.45
1414173689.091344 20  3.974 17.04 113.27
1414173690.404623 21  4.001 17.60 113.09
1414173691.684402 22  4.028 18.05 112.94
1414173692.973151 23  4.059 18.60 112.76
1414173694.272283 24  4.085 19.06 112.62
1414173695.560376 25  4.118 19.69 112.42
1414173697.470922 26  4.169 20.57 112.15
1414173698.766629 27  4.198 21.00 112.00
1414173700.059508 28  4.226 21.42 111.85
1414173701.342410 29  4.232 21.49 111.82
1414173702.634548 30  4.251 21.77 111.72
1414173703.921132 31  4.291 22.39 111.50
1414173705.224932 32  4.322 22.84 111.35
1414173706.520178 33  4.347 23.22 111.21
1414173707.832381 34  4.377 23.66 111.06
1414173709.747905 35  4.444 24.55 110.74
1414173711.023008 36  4.469 24.87 110.61
1414173712.319420 37  4.518 25.48 110.38
1414173713.626883 38  4.550 25.92 110.23
1414173714.917383 39  4.613 26.68 109.95
1414173716.221140 40  4.659 27.20 109.73
1414173717.511511 41  4.701 27.63 109.55
1414173718.819392 42  4.742 28.10 109.38
1414173720.112273 43  4.770 28.41 109.26
1414173722.023055 44  4.820 28.91 109.05
1414173723.318527 45  4.850 29.15 108.92
1414173724.616886 46  4.876 29.22 108.81
1414173725.911794 47  4.903 28.70 108.70
1414173727.240148 48  4.921 28.36 108.64
1414173728.520546 49  4.949 27.88 108.53
1414173729.808586 50  4.959 27.75 108.49
1414173731.098672 51  4.997 27.14 108.33
1414173732.405020 52  5.003 27.04 108.31
1414173734.313678 53  5.021 26.76 108.24
1414173735.620149 54  5.029 26.65 108.21
1414173736.900650 55  5.029 26.65 108.21
1414173738.184663 56  5.029 26.64 108.21
1414173739.467176 57  5.029 26.64 108.21
1414173740.772673 58  5.029 26.62 108.20
1414173742.056357 59  5.029 26.63 108.21
1414173743.346530 60  5.028 26.64 108.21
1414173744.637155 61  5.029 26.63 108.21
1414173746.558680 62  5.029 26.63 108.21
1414173747.847430 63  5.029 26.64 108.21
1414173749.137152 64  5.029 26.63 108.21
1414173750.430277 65  5.028 26.64 108.19
1414173751.709053 66  5.036 26.48 108.18
1414173753.006901 67  5.066 26.05 108.07
1414173754.303195 68  5.091 25.68 107.98
1414173755.591901 69  5.140 25.01 107.80
1414173756.876780 70  5.150 24.83 107.76
1414173758.175057 71  5.176 24.48 107.67
1414173759.436326 72  5.199 24.18 107.59
1414173760.730030 73  5.242 23.62 107.43
1414173762.028313 74  5.280 23.12 107.30
1414173763.330158 75  5.295 22.94 107.25
1414173764.618419 76  5.296 22.92 107.25
1414173765.899784 77  5.327 22.55 107.15
1414173767.190534 78  5.362 22.11 107.03
1414173768.482418 79  5.395 21.74 106.92
1414173769.770913 80  5.419 21.47 106.84
1414173771.058284 81  5.418 21.45 106.85
1414173772.317450 82  5.419 21.43 106.85
1414173773.599561 83  5.433 21.32 106.82
1414173774.891334 84  5.457 21.03 106.73
1414173776.187060 85  5.487 20.68 106.63
1414173777.477664 86  5.508 20.48 106.57
1414173778.758069 87  5.531 20.18 106.49
1414173780.043294 88  5.568 19.78 106.37
1414173781.326046 89  5.591 19.55 106.30
1414173782.622181 90  5.597 19.48 106.28
1414173783.924296 91  5.592 19.52 106.28
1414173785.196545 92  5.595 19.49 106.28
1414173786.492714 93  5.622 19.21 106.21
1414173787.790922 94  5.664 18.80 106.08
1414173789.081426 95  5.684 18.61 106.02
1414173790.384174 96  5.702 18.43 105.96
1414173791.684294 97  5.726 18.20 105.89
1414173792.966192 98  5.743 18.04 105.84
1414173794.261550 99  5.768 17.81 105.77
1414173795.556579 100  5.789 17.62 105.71
1414173797.457794 101  5.799 17.52 105.69
1414173798.765206 102  5.812 17.40 105.65
1414173800.053921 103  5.820 17.34 105.64
1414173801.341312 104  5.857 17.01 105.53
1414173802.639848 105  5.892 16.69 105.43
1414173803.925556 106  5.926 16.41 105.34
1414173805.222560 107  5.947 16.22 105.28
1414173806.507803 108  5.972 16.03 105.21
1414173807.806302 109  5.994 15.83 105.17
1414173809.099307 110  6.027 15.56 105.08
1414173810.362307 111  6.075 15.15 104.96
1414173811.667361 112  6.115 14.83 104.86
1414173812.964055 113  6.198 14.18 104.63
1414173814.252438 114  6.274 13.61 104.44
1414173815.550995 115  6.360 12.98 104.25
1414173816.859440 116  6.453 12.34 104.02
1414173818.141492 117  6.540 11.72 103.80
1414173819.427182 118  6.614 11.03 103.64
1414173820.711564 119  6.571 11.17 103.73
1414173822.620439 120  6.572 11.09 103.75
1414173823.905686 121  6.549 10.76 103.78
1414173825.196525 122  6.504 10.14 103.88
1414173826.494206 123  6.452 9.41 103.99
1414173827.778057 124  6.411 8.77 104.10
1414173829.066069 125  6.345 7.75 104.25
1414173830.354380 126  6.294 6.94 104.36
1414173831.654687 127  6.231 5.87 104.49
1414173832.947315 128  6.177 4.86 104.64
1414173834.234119 129  6.112 3.72 104.80
1414173835.484568 130  6.054 2.56 104.94
1414173836.762841 131  6.008 1.53 105.06
1414173838.054572 132  5.969 0.84 105.18
1414173839.346189 133  5.899 359.14 105.36
1414173840.636839 134  5.877 358.56 105.41
1414173841.918441 135  5.876 358.52 105.44
1414173843.201816 136  5.829 357.28 105.54
1414173844.487696 137  5.808 356.63 105.60
1414173845.774321 138  5.779 355.77 105.68
1414173847.077701 139  5.739 354.46 105.79
1414173848.344726 140  5.709 353.40 105.87
1414173849.631820 141  5.689 352.73 105.92
1414173850.916448 142  5.672 352.09 105.97
1414173852.202319 143  5.655 351.39 106.01
1414173853.505830 144  5.634 350.53 106.07
1414173854.803820 145  5.619 349.90 106.10
1414173856.073959 146  5.601 349.01 106.15
